dataset,n,n_near_zero,min_over_mean,has_near_zero,w1_2p,w1_offset,w1_2p_drop_near_zero,w1_offset_drop_near_zero,offset_gain,offset_gain_pct,offset_gain_dropped
NonStructuralWood,57,0,0.05393780849387604,False,0.12120364495681119,0.06421958091640469,0.12120364495681119,0.06421958091640469,0.0569840640404065,47.01514056009766,0.0569840640404065
OilPatch,282,0,0.11988306473655777,False,0.19721372074766927,0.25315626794609,0.19721372074766927,0.25315626794609,-0.055942547198420706,-28.36645796566964,-0.055942547198420706
OpenWebMembranes,17,0,0.7024809256503228,False,0.05618871857029938,0.059620270646820066,0.05618871857029938,0.059620270646820066,-0.003431552076520683,-6.107190489185771,-0.003431552076520683
Openings,12,2,0.004251600157065305,True,0.7086382369702207,0.3427020477431524,0.5074052316553074,0.34792932594923015,0.3659361892270683,51.639351383524925,0.15947590570607723
OtherFlooring,217,2,0.003694065219080551,True,0.33840625764273824,0.09277810282111193,0.27439608153190675,0.0956300562149886,0.2456281548216263,72.583809924975,0.17876602531691815
PaintingAndCoating,19,0,0.01519440499302904,False,0.26210778049101624,0.17173339202879764,0.26210778049101624,0.17173339202879764,0.0903743884622186,34.47985721481327,0.0903743884622186
PlateSteel,72,0,0.1850876110414395,False,0.1354256529884708,0.09763346369170768,0.1354256529884708,0.09763346369170768,0.03779218929676313,27.906226377937788,0.03779218929676313
PostTensioningSteel,35,0,0.8201829903478701,False,0.02150975115289766,0.023245643221864926,0.02150975115289766,0.023245643221864926,-0.0017358920689672652,-8.070256399658145,-0.0017358920689672652
PowerCabling,400,121,1.693094452041194e-05,True,3.966986845532255,1.144485212529211,1.308005639458337,1.2449596293733696,2.8225016330030437,71.14976033212295,0.06304601008496746
PrecastConcrete,499,0,0.2927241328873081,False,0.07058712214489198,0.07164361076693972,0.07058712214489198,0.07164361076693972,-0.001056488622047741,-1.4967158171983832,-0.001056488622047741
ProcessedNonInsulatingGlassPanes,130,5,0.0008167199424969943,True,0.48167221700173396,0.26953284134762606,0.3367578359342857,0.28514166095983307,0.2121393756541079,44.04226944510362,0.051616174974452644
ReadyMix [3000-3999 psi],20814,0,0.3269911877468781,False,0.006948365689409585,0.005529443923819306,0.006948365689409585,0.005529443923819306,0.0014189217655902787,20.420942549885382,0.0014189217655902787
ReadyMix [4000-4999 psi],31025,0,0.3074094609517363,False,0.010544828949010376,0.003419309059839745,0.010544828949010376,0.003419309059839745,0.0071255198891706315,67.57359387834694,0.0071255198891706315
