arm,dataset,family,status,sigma,model_mean,model_sd,w1
empirical,GlazedDoors,lognormal_3p,interior,0.7748602799083638,0.9345467642439966,1.0836394852850644,0.10237064059979917
empirical,Grouting,lognormal_offset,,0.665844809663671,0.8687795981122584,0.9649873161899316,0.7787215441369406
empirical,Grouting,lognormal_3p,boundary_guard,1.254578942184474,0.7290873917334828,4.3792519934774905,0.503965510145642
empirical,Gypsum,lognormal_offset,,0.3519573675123005,1.0027877273771486,0.5479602323987719,0.06431022639051222
empirical,Gypsum,lognormal_3p,interior,0.5218534928220948,1.0057482277114043,0.6072766759280367,0.040140133341733726
empirical,GypsumSheathingBoard,lognormal_offset,,0.23745664898870397,1.1301926202467658,0.3939327149935745,0.08035322697856502
empirical,GypsumSheathingBoard,lognormal_3p,boundary_normal_limit,0.0009982335608047911,1.1298605137819588,0.366874679904971,0.07068272011491204
empirical,HeavyTimber,lognormal_offset,,0.6046100022147937,1.0342995692998604,0.9986723139875514,0.4531713073991161
empirical,HeavyTimber,lognormal_3p,boundary_guard,2.0960336178739456,3.9232896332022635,327.379124666523,0.5728947851378247
empirical,Hollow,lognormal_offset,,0.2642060695579602,1.039286758662784,0.41551024166219186,0.06339675127218768
empirical,Hollow,lognormal_3p,interior,0.3009683140593258,1.0398034132669414,0.4220746209096885,0.06561066974237366
empirical,HotRolled,lognormal_offset,,0.4834128066795473,1.0110997630297958,0.7691794303594992,0.2163033182266303
empirical,HotRolled,lognormal_3p,interior,0.8051325301376991,1.0046757232491115,1.1175172659651464,0.14300660890545747
empirical,InsulatedRoofPanels,lognormal_offset,,0.18290524278319992,1.0192025508550437,0.2808872956471266,0.02382044352452368
empirical,InsulatedRoofPanels,lognormal_3p,interior,0.13611381205554773,1.0189434972504168,0.2769031271430869,0.02582304403675305
empirical,InsulatedWallPanels,lognormal_offset,,0.18402749863409068,0.9962332954566274,0.278369811570512,0.016489416141054897
empirical,InsulatedWallPanels,lognormal_3p,interior,0.24347862342734566,0.996537777366027,0.283319186520599,0.014141400783911628
empirical,InsulatingGlazingUnits,lognormal_offset,,0.45414544411817864,0.9500869297676463,0.6880748279649417,0.27577343954222444
empirical,InsulatingGlazingUnits,lognormal_3p,interior,1.0598691881045905,0.9501328786894636,1.8554686749702551,0.2022559508748674
empirical,JointProtection,lognormal_offset,,0.3555930203441692,1.0693191999163079,0.5790760181613559,0.2256576063609126
empirical,JointProtection,lognormal_3p,boundary_normal_limit,0.0009987425905659756,1.0796372082450043,0.4704130004268663,0.18505355555732875
empirical,Laminate,lognormal_offset,,0.47521121954786333,1.0786621978656417,0.7930038933658906,0.1569973084786064
empirical,Laminate,lognormal_3p,interior,0.7838539861600251,1.0964882956037711,1.1926846905500064,0.2099521144957146
empirical,MBQ,lognormal_offset,,0.30141945108415474,0.8358728967267371,0.4131593591482501,0.21200160420409997
empirical,MBQ,lognormal_3p,interior,0.8280541853743651,0.821259449291121,0.5220807034477064,0.11824666040152908
empirical,MasonryCement,lognormal_offset,,0.14875354834765772,1.0313925152695917,0.22952614377767502,0.06395901888297231
empirical,MasonryCement,lognormal_3p,interior,0.11162628832895904,1.0312388330382432,0.2270872125556304,0.06389388550253836
empirical,MassTimber,lognormal_offset,,0.46454186066945746,0.8830102756804261,0.6671660935952094,0.25646745787361563
empirical,MassTimber,lognormal_3p,interior,0.9107702349609559,0.8709542433247103,1.1893547546039722,0.17195318321893055
empirical,MechanicalInsulation,lognormal_offset,,0.5818812594979522,1.5719917230312892,1.3424987782168787,0.20969837498178875
empirical,MechanicalInsulation,lognormal_3p,interior,0.6565292643959019,1.5769819390551587,1.4829786499113227,0.2269513418150463
empirical,MetalDoorAndFrames,lognormal_offset,,0.36941670260618736,1.0379264123167877,0.5905500548508462,0.12833108835192253
empirical,MetalDoorAndFrames,lognormal_3p,interior,0.5658110474660091,1.042621126527868,0.6761205870611819,0.11242736795712147
empirical,MetalRailings,lognormal_offset,,0.30581846020145365,0.958606357868614,0.45865027168918987,0.1633592343904257
empirical,MetalRailings,lognormal_3p,interior,0.45107284979999424,0.9595908374024498,0.48685823991684923,0.14678786968770624
empirical,MetalStairs,lognormal_offset,,0.12226061690840219,1.0608198853647957,0.19188032568545213,0.0987110005968421
empirical,MetalStairs,lognormal_3p,interior,0.40368374600559775,1.0597180635521881,0.19359714567808384,0.0879528831995375
empirical,Mirrors,lognormal_offset,,0.3081494702215065,0.9056743404615559,0.44529230636365635,0.0985696309732481
empirical,Mirrors,lognormal_3p,interior,0.13130032555067786,0.9069200707080094,0.4043321290063762,0.08845967294986322
empirical,MiscMetalFabrication,lognormal_offset,,0.3568327326336262,0.9850606490568633,0.5491845492166758,0.15406432228513728
empirical,MiscMetalFabrication,lognormal_3p,interior,0.4969399915809141,0.9883013806915627,0.6043363041175269,0.15511111769740682
empirical,Mortar,lognormal_offset,,0.6139253797879609,1.1109160460317087,1.0782849972531783,0.39108601014145417
empirical,Mortar,lognormal_3p,interior,1.0057871629624973,1.090791870635095,2.4357049027476347,0.2253387748569719
empirical,NetworkingCableTrays,lognormal_offset,,0.35852383791773057,0.9844430665098466,0.5516789634468051,0.13219171167264332
empirical,NetworkingCableTrays,lognormal_3p,interior,0.5707400964835477,0.9923160528532534,0.6510409497478832,0.1401905191265168
empirical,NetworkingRaceways,lognormal_offset,,0.720161731279504,1.1523750203118923,1.367734739886876,0.33404356848481415
empirical,NetworkingRaceways,lognormal_3p,boundary_guard,1.7866261676605397,2.446555117554244,109.44798083838258,0.45427424867307187
empirical,NonStructuralWood,lognormal_offset,,0.3440287106524199,0.8871734770804807,0.49254470592073124,0.06421958091640469
empirical,NonStructuralWood,lognormal_3p,interior,0.33741649717482913,0.8872087562143031,0.4905173821090222,0.06377252672904751
empirical,OilPatch,lognormal_offset,,0.4874516138074759,1.0810699489140065,0.8162615327001617,0.25315626794609
