realization,dataset,n,method,w1,rank
0,DampproofingAndWaterproofing,162,"KDE, Variable",0.07982682790464969,1.0
0,DataCabling,951,"Normal, Uniform",1.253569871733839,6.0
0,DataCabling,951,"Normal, Variable",1.2256980565452509,5.0
0,DataCabling,951,"Lognormal, Uniform",0.5050652733386045,3.0
0,DataCabling,951,"Lognormal, Variable",0.5059036852286698,4.0
0,DataCabling,951,"KDE, Uniform",0.340487661288543,2.0
0,DataCabling,951,"KDE, Variable",0.30924536999412633,1.0
0,DeckingBoards,7,"Normal, Uniform",0.3117524868066027,6.0
0,DeckingBoards,7,"Normal, Variable",0.21455716846617146,3.0
0,DeckingBoards,7,"Lognormal, Uniform",0.22559577254689914,4.0
0,DeckingBoards,7,"Lognormal, Variable",0.12278426293351899,1.0
0,DeckingBoards,7,"KDE, Uniform",0.2952367617824605,5.0
0,DeckingBoards,7,"KDE, Variable",0.1814578825487283,2.0
0,DeckingSteel,62,"Normal, Uniform",0.048662541672794254,5.0
0,DeckingSteel,62,"Normal, Variable",0.04762961375379652,3.0
0,DeckingSteel,62,"Lognormal, Uniform",0.04870264489564165,6.0
0,DeckingSteel,62,"Lognormal, Variable",0.047708852496290866,4.0
0,DeckingSteel,62,"KDE, Uniform",0.04088369477049305,2.0
0,DeckingSteel,62,"KDE, Variable",0.028526775551058627,1.0
0,DemountablePartitionTrack,4,"Normal, Uniform",0.7799633600264113,5.0
0,DemountablePartitionTrack,4,"Normal, Variable",0.18548879477409197,1.0
0,DemountablePartitionTrack,4,"Lognormal, Uniform",1.1039576224583723,6.0
0,DemountablePartitionTrack,4,"Lognormal, Variable",0.18574054729886746,2.0
0,DemountablePartitionTrack,4,"KDE, Uniform",0.7659394620320836,4.0
0,DemountablePartitionTrack,4,"KDE, Variable",0.19870968363774216,3.0
0,DemountablePartitions,45,"Normal, Uniform",0.08786198087073074,4.0
0,DemountablePartitions,45,"Normal, Variable",0.08406559287096213,2.0
0,DemountablePartitions,45,"Lognormal, Uniform",0.0996694501946482,6.0
0,DemountablePartitions,45,"Lognormal, Variable",0.08490642896102353,3.0
0,DemountablePartitions,45,"KDE, Uniform",0.07829284898782059,1.0
0,DemountablePartitions,45,"KDE, Variable",0.09065821233271444,5.0
0,DoorsAndFrames,61,"Normal, Uniform",0.5576882874187231,5.0
0,DoorsAndFrames,61,"Normal, Variable",0.6575145736062125,6.0
0,DoorsAndFrames,61,"Lognormal, Uniform",0.21725957862382791,3.0
0,DoorsAndFrames,61,"Lognormal, Variable",0.22337166625658997,4.0
0,DoorsAndFrames,61,"KDE, Uniform",0.10168987744289756,1.0
0,DoorsAndFrames,61,"KDE, Variable",0.10222513040999566,2.0
0,Electrical,3,"Normal, Uniform",0.004185554263156276,2.0
0,Electrical,3,"Normal, Variable",0.0038998535409464296,1.0
0,Electrical,3,"Lognormal, Uniform",0.0055030957280955565,6.0
0,Electrical,3,"Lognormal, Variable",0.005139933867256799,4.0
0,Electrical,3,"KDE, Uniform",0.005291871791402663,5.0
0,Electrical,3,"KDE, Variable",0.004583598858633127,3.0
0,Elevators,20,"Normal, Uniform",1.3308001558200413,6.0
0,Elevators,20,"Normal, Variable",1.255419822726783,5.0
0,Elevators,20,"Lognormal, Uniform",0.5855567868191281,2.0
0,Elevators,20,"Lognormal, Variable",0.5374441615230169,1.0
0,Elevators,20,"KDE, Uniform",1.1063130445253486,4.0
0,Elevators,20,"KDE, Variable",1.0419066243185433,3.0
0,FenestrationAccessories,17,"Normal, Uniform",0.7003052618626809,5.0
0,FenestrationAccessories,17,"Normal, Variable",0.8190809772551899,6.0
