arm,dataset,n,weighting,family,method,w1,seconds,status,mass_below_zero,threshold
synthetic,dataset6010,575,Uniform,lognormal_3p,mle,0.010426778929317343,0.002383040962740779,interior,1.5917988364435267e-73,-2.5466065469060277
synthetic,dataset6010,575,Uniform,lognormal_3p,w1,0.017348127047265557,0.26322808396071196,,3.715430445776299e-89,-9.04720785861674
synthetic,dataset6010,575,Uniform,lognormal_offset,mle,0.010678922168302372,0.0002679580356925726,,6.519981876084931e-142,-0.5
synthetic,dataset6010,575,Uniform,lognormal_offset,w1,0.017510084101163552,0.03380258393008262,,3.8002718024318484e-216,-0.5
synthetic,dataset6010,575,Uniform,gamma,mle,0.010673535043818624,0.00027945893816649914,,0.0,0.0
synthetic,dataset6010,575,Uniform,gamma,w1,0.01751265695150825,0.03511954203713685,,0.0,0.0
synthetic,dataset6010,575,Uniform,kde,mle,0.010661312267975738,,,0.0,
synthetic,dataset6010,575,Variable,normal,mle,0.009366878001224438,0.0002794580068439245,,7.728687732108394e-38,0.9997746596088434
synthetic,dataset6010,575,Variable,normal,w1,0.009084554617749326,0.0389402499422431,,3.0455840298084672e-43,0.9996785111883032
synthetic,dataset6010,575,Variable,lognormal_2p,mle,0.01032006574950594,0.0002679169410839677,,0.0,0.0
synthetic,dataset6010,575,Variable,lognormal_2p,w1,0.009655955356212546,0.0335987500147894,,0.0,0.0
synthetic,dataset6010,575,Variable,lognormal_3p,mle,0.009373701725731624,0.0024183340137824416,boundary_normal_limit,2.689335894136616e-38,-77.30527521452447
synthetic,dataset6010,575,Variable,lognormal_3p,w1,,0.0027810409665107727,,,
synthetic,dataset6010,575,Variable,lognormal_offset,mle,0.009902784599185008,0.0002578749554231763,,6.069736244981175e-98,-0.5
synthetic,dataset6010,575,Variable,lognormal_offset,w1,0.00944989056806558,0.03598237503319979,,2.917501180221265e-116,-0.5
synthetic,dataset6010,575,Variable,gamma,mle,0.009922633238724162,0.0002621669555082917,,0.0,0.0
synthetic,dataset6010,575,Variable,gamma,w1,0.0094651359839527,0.035792125039733946,,0.0,0.0
synthetic,dataset6010,575,Variable,kde,mle,0.006816091692883382,,,1.7729051009931555e-143,
synthetic,dataset6021,782,Uniform,normal,mle,0.2911270454810373,0.00032849994022399187,,0.07801131166184676,1.0000000000000002
synthetic,dataset6021,782,Uniform,normal,w1,0.17674107087693097,0.045194625039584935,,0.29861053223860295,0.49055297711239076
synthetic,dataset6021,782,Uniform,lognormal_2p,mle,0.2290119134741683,0.0003748750314116478,,0.0,0.0
synthetic,dataset6021,782,Uniform,lognormal_2p,w1,0.1778798857277454,0.03896591695956886,,0.0,0.0
synthetic,dataset6021,782,Uniform,lognormal_3p,mle,0.16596395419590215,0.0026502920081838965,interior,0.002697313393216239,-0.2682000124874304
synthetic,dataset6021,782,Uniform,lognormal_3p,w1,0.15873509006433317,0.10218808299396187,,0.0052726358607335985,-0.35871580176188245
synthetic,dataset6021,782,Uniform,lognormal_offset,mle,0.167862866957862,0.0002677920274436474,,0.007926543700564491,-0.5
synthetic,dataset6021,782,Uniform,lognormal_offset,w1,0.15730808817141495,0.04035099991597235,,0.011269688161012365,-0.5
synthetic,dataset6021,782,Uniform,gamma,mle,0.16829281905167787,0.0002746660029515624,,0.0,0.0
synthetic,dataset6021,782,Uniform,gamma,w1,0.1545645246227404,0.036940166959539056,,0.0,0.0
synthetic,dataset6021,782,Uniform,kde,mle,0.1913450086935941,,,0.022553640498700244,
synthetic,dataset6021,782,Variable,normal,mle,0.13469480804851927,0.00028670800384134054,,0.06410161293820406,0.8373953232526011
synthetic,dataset6021,782,Variable,normal,w1,0.0842736909959367,0.040454500005580485,,0.06289183810921736,0.7163010734872397
synthetic,dataset6021,782,Variable,lognormal_2p,mle,0.08112281146254577,0.00029141700360924006,,0.0,0.0
synthetic,dataset6021,782,Variable,lognormal_2p,w1,0.02907694849123104,0.04054787498898804,,0.0,0.0
synthetic,dataset6021,782,Variable,lognormal_3p,mle,0.03666814173681943,0.0026332909474149346,interior,0.0012656375101289259,-0.23471195521873778
synthetic,dataset6021,782,Variable,lognormal_3p,w1,0.029038625640100332,0.11604029196314514,,1.0109278297540018e-12,-0.0124468620888443
synthetic,dataset6021,782,Variable,lognormal_offset,mle,0.04982487124926406,0.00026729097589850426,,0.005798449096558636,-0.5
synthetic,dataset6021,782,Variable,lognormal_offset,w1,0.04742276977451997,0.04033287498168647,,0.007694714249526782,-0.5
synthetic,dataset6021,782,Variable,gamma,mle,0.051150883816742085,0.0002726670354604721,,0.0,0.0
