material,n_implausible,n_before,n_after,n_removed,n_removed_low,n_removed_high,min_over_mean_before,max_over_mean_before,min_over_mean_after,max_over_mean_after,status
Shotcrete [5000-5999 psi],0,471,471,0,0,0,0.5121472987169314,1.6388713558941808,0.5121472987169314,1.6388713558941808,ok
Shotcrete [<3000 psi],0,4,4,0,0,0,0.6947073256221521,1.3389414651244305,0.6947073256221521,1.3389414651244305,ok
Shotcrete [>=6000 psi],0,264,264,0,0,0,0.575143175026236,1.7038675152570235,0.575143175026236,1.7038675152570235,ok
Shotcrete [strength not stated],0,96,96,0,0,0,0.553828792596203,1.7738574371559546,0.553828792596203,1.7738574371559546,ok
Siding,0,1,1,0,0,0,1.0,1.0,1.0,1.0,dropped_too_few_values
SinglePlyEPDM,0,30,29,1,0,1,0.10018941226512536,24.646595417220837,0.5427374133154494,2.192659149794416,ok
SinglePlyKEE,0,11,11,0,0,0,0.6865021770682149,1.3889695210449928,0.6865021770682149,1.3889695210449928,ok
SinglePlyOther,0,2,2,0,0,0,0.7826322196672528,1.2173677803327472,0.7826322196672528,1.2173677803327472,dropped_too_few_values
SinglePlyPVC,0,80,74,6,1,5,0.027093109725031216,57.33598847985986,0.2495208029060221,4.906436251003445,ok
SinglePlyPolyurethane,0,27,27,0,0,0,0.029261979370631592,6.904915870594629,0.029261979370631592,6.904915870594629,ok
SinglePlyTPO,0,62,62,0,0,0,0.3518345723037127,1.63865823895012,0.3518345723037127,1.63865823895012,ok
SprayedInsulation,0,13,11,2,2,0,0.000200180000441082,4.660090218328695,0.2735646824783542,3.9432747023906907,ok
SteelSuspensionAssembly,3,111,98,13,10,3,0.08335017534154965,7.938026397291121,0.779908212962328,1.8600321397009496,ok
StoneCladding,0,19,19,0,0,0,0.056036173548425015,2.764217471560303,0.056036173548425015,2.764217471560303,ok
StorageFurniture,0,17,15,2,1,1,0.029778613665548917,9.304938390249017,0.4050515197236374,2.4224491885206856,ok
