arm,dataset,n,estimate_maxima,crit_bw_1,n_modes_silverman
shipped_synthetic,dataset2434,22,1.1548109590473323,0.7536696489808087,2
shipped_synthetic,dataset8846,192,1.0,0.32492171117540763,1
shipped_synthetic,dataset10170,244,1.00293857350471,0.4153796676485428,1
shipped_synthetic,dataset9879,49,1.1288916411775494,0.6095743615326065,2
shipped_synthetic,dataset12597,162,1.0702933489741246,0.5445264397631828,1
shipped_synthetic,dataset12219,198,1.0629796029007839,0.5612314778279365,1
shipped_synthetic,dataset6423,22,1.2556087161307454,0.7963234666312822,2
shipped_synthetic,dataset2043,29,1.0,0.5288327372928245,1
shipped_synthetic,dataset2745,426,1.48257588441636,0.7229427601262647,3
shipped_synthetic,dataset1781,12,1.094167463018492,0.7654794038743533,2
shipped_synthetic,dataset3436,17,1.1941742985986576,0.8003675807789092,2
shipped_synthetic,dataset6909,77,1.0326865236107032,0.5260814667056872,1
shipped_synthetic,dataset9882,37,1.0,0.4251134960382073,1
shipped_synthetic,dataset820,4,1.0,0.6481690652888464,1
shipped_synthetic,dataset4897,111,1.1212493149261984,0.8644218908732897,2
shipped_synthetic,dataset5488,177,1.4185071374881744,0.7051925090888453,2
shipped_synthetic,dataset8260,92,1.0,0.29453002608570156,1
shipped_synthetic,dataset10761,109,1.508106961752731,0.7474343012072386,2
shipped_synthetic,dataset11969,6,1.0,0.5307941976822684,1
shipped_synthetic,dataset2362,42,1.1874631763074577,0.7067059736175547,2
shipped_synthetic,dataset11794,140,1.0227965091003892,1.2934226021294777,2
shipped_synthetic,dataset8672,21,1.1509730961425524,0.7427016974843541,2
shipped_synthetic,dataset13468,11,1.0,0.6533504783820557,1
shipped_synthetic,dataset12286,384,1.1734620742857174,0.6089178164553406,4
shipped_synthetic,dataset2359,194,1.3007790128017271,0.6312562671295491,2
shipped_synthetic,dataset2766,45,1.303289650186915,0.8175365024809693,3
shipped_synthetic,dataset487,22,1.0,0.4199027961711342,1
shipped_synthetic,dataset12955,29,1.0,0.44705472757646836,1
shipped_synthetic,dataset782,284,1.0360111833671373,0.375883609227974,2
shipped_synthetic,dataset10579,24,1.0,0.448109280410043,1
shipped_synthetic,dataset5853,25,1.264624806012166,0.7895868431645608,2
shipped_synthetic,dataset10211,106,1.0803968227930196,0.5404723801228666,1
shipped_synthetic,dataset6070,89,1.2335563689982816,0.6037294013055922,3
shipped_synthetic,dataset3619,31,1.0,0.5078737669267684,1
